,name,salary_from,salary_to,salary_currency,area_name,published_at
720,Программист 1С,,,,Красноярск,2022-12-26T07:05:20+0300
721,Оператор электроэрозионного станка с ЧПУ,40000.0,,RUR,Киров (Кировская область),2022-12-26T07:22:12+0300
722,Ученик токаря,30000.0,,RUR,Екатеринбург,2022-12-26T07:02:59+0300
723,Оператор установки плазменной резки (плазморезчик),,,,Пермь,2022-12-26T07:32:51+0300
724,Сервисный инженер,60000.0,80000.0,RUR,Екатеринбург,2022-12-26T07:08:51+0300
725,Аккаунт-менеджер,,,,Ижевск,2022-12-26T07:52:08+0300
726,Электромонтер линейных сооружений телефонной связи и радиофикации,21500.0,24500.0,RUR,Омск,2022-12-26T07:37:12+0300
727,Backend-Тимлид в UGC,,,,Томск,2022-12-26T07:27:20+0300
728,Ведущий инженер программист 1С,,,,Омск,2022-12-26T07:04:59+0300
729,Токарь-универсал,2400.0,,BYR,Минск,2022-12-26T07:59:04+0300
730,Радиомеханик по обслуживанию и ремонту радиотелевизионной аппаратуры,27200.0,33600.0,RUR,Бийск,2022-12-26T07:46:42+0300
731,Backend-Тимлид в UGC,,,,Нижний Новгород,2022-12-26T07:27:20+0300
732,"Мастер-приемщик сервисного центра ""Вираж""",35000.0,50000.0,RUR,Красноярск,2022-12-26T07:31:34+0300
733,Администратор программы 1C 8,45000.0,,RUR,Абакан,2022-12-26T07:38:34+0300
734,Программист 1С,,,,Москва,2022-12-26T07:11:39+0300
735,Специалист технической поддержки,130000.0,160000.0,KZT,Алматы,2022-12-26T07:17:46+0300
736,Оператор токарных станков (Токарь),,,,Нижний Новгород,2022-12-26T07:47:01+0300
737,Токарь,25100.0,56150.0,RUR,Бийск,2022-12-26T07:46:43+0300
738,Продукт-менеджер,35000.0,,RUR,Ижевск,2022-12-26T07:54:28+0300
739,PHP Программист,70000.0,100000.0,RUR,Екатеринбург,2022-12-26T07:39:32+0300
740,Пресейл инженер (Информационная безопасность),,,,Ташкент,2022-12-26T07:09:30+0300
741,Проектный менеджер,,,,Алматы,2022-12-26T07:24:30+0300
742,Токарь,34000.0,41000.0,RUR,Омск,2022-12-26T07:37:13+0300
743,Технический специалист (объектные продажи),48960.0,97920.0,RUR,Екатеринбург,2022-12-26T07:57:16+0300
744,Инженер по ремонту,23100.0,38000.0,RUR,Бийск,2022-12-26T07:46:42+0300
745,Консультант по управлению торговлей в 1С,30000.0,,RUR,Красноярск,2022-12-26T07:39:07+0300
746,Менеджер проекта (Инженерно-техническая защита),80000.0,,RUR,Москва,2022-12-26T07:42:37+0300
747,Токарь-расточник,60000.0,90000.0,RUR,Новосибирск,2022-12-26T07:12:52+0300
748,Администратор по установке и ремонту торгового оборудования,,,,Ангарск,2022-12-26T07:02:56+0300
749,Токарь,40000.0,,RUR,Энгельс,2022-12-26T07:58:14+0300
750,"Инженер-электроник (специалист технической поддержки, технический консультант)",35000.0,,RUR,Челябинск,2022-12-26T07:28:41+0300
751,Специалист по информационной безопасности (поддержка PTAF),,,,Москва,2022-12-26T07:21:43+0300
752,Сервисный инженер (механик) по ремонту спецтехники,60000.0,,RUR,Пермь,2022-12-26T07:41:20+0300
753,Backend-Тимлид в UGC,,,,Санкт-Петербург,2022-12-26T07:27:20+0300
754,Наладчик/оператор станков с ЧПУ (5-6 разряд),2000.0,,BYR,Минск,2022-12-26T07:58:25+0300
755,Инженер по холодильному оборудованию,50000.0,50000.0,RUR,Сосновоборск,2022-12-26T07:19:26+0300
756,Backend-Тимлид в UGC,,,,Казань,2022-12-26T07:27:20+0300
757,Консультант по услугам связи (без продаж),32000.0,45000.0,RUR,Ростов-на-Дону,2022-12-26T07:52:57+0300
758,Программист 1С,50000.0,,KGS,Бишкек,2022-12-26T07:29:31+0300
759,Ведущий программист 1С,130000.0,,RUR,Казань,2022-12-26T07:49:51+0300
760,Оператор станка с ЧПУ (Токарная группа),,,,Ижевск,2022-12-26T07:54:38+0300
761,Технический специалист (объектные продажи),57600.0,115200.0,RUR,Владивосток,2022-12-26T07:57:16+0300
762,Оператор фрезерных станков,,,,Нижний Новгород,2022-12-26T07:47:01+0300
763,Инженер по системам видеонаблюдения,45000.0,,RUR,Самара,2022-12-26T07:21:36+0300
764,Backend-Тимлид в UGC,,,,Екатеринбург,2022-12-26T07:27:20+0300
765,Инженер по монтажу оборудования,,,,Новокузнецк,2022-12-26T07:16:06+0300
766,PHP Fullstack Developer (Middle) (удаленная работа не рассматривается),,,,Челябинск,2022-12-26T07:37:00+0300
767,Специалист по информационной безопасности (поддержка PTAF),,,,Санкт-Петербург,2022-12-26T07:21:47+0300
768,Преподаватель по Autodesk MAYA,,,,Ташкент,2022-12-26T07:59:25+0300
769,Ведущий специалист поддержки SIEM,,,,Санкт-Петербург,2022-12-26T07:21:38+0300
770,Программист 1C,,100000.0,RUR,Москва,2022-12-26T07:58:56+0300
771,Менеджер проекта,200000.0,,KZT,Астана,2022-12-26T07:57:29+0300
772,Backend Developer (Senior),,220000.0,RUR,Москва,2022-12-26T07:50:05+0300
773,NET Fullstack Developer (Middle) (удаленная работа не рассматривается),,,,Челябинск,2022-12-26T07:37:00+0300
774,Программист 1C 8.3 НЕ удаленно,,,,Абакан,2022-12-26T07:38:34+0300
775,Заместитель начальника проектно-конструкторского отдела,56800.0,56800.0,RUR,Омск,2022-12-26T07:38:02+0300
776,Backend-Тимлид в UGC,,,,Новосибирск,2022-12-26T07:27:20+0300
777,Ведущий программист 1С (руководитель направления 1С),60000.0,120000.0,RUR,Красноярск,2022-12-26T07:39:07+0300
778,Токарь (3-4 разряда),30000.0,40000.0,RUR,Уфа,2022-12-26T07:18:20+0300
779,Менеджер по внутренним коммуникациям,,,,Алматы,2022-12-26T07:22:18+0300
780,Программист 1С,,,,Омск,2022-12-26T07:17:00+0300
781,Программист 1С,150000.0,170000.0,RUR,Москва,2022-12-26T07:42:37+0300
782,Аналитик данных (intern/junior),,,,Тюмень,2022-12-26T08:21:21+0300
783,.NET-разработчик (Junior),,,,Астана,2022-12-26T08:21:25+0300
784,Администратор по информационной безопасности,,80000.0,RUR,Ставрополь,2022-12-26T08:46:41+0300
785,Менеджер маркетплейсов (стажер),200000.0,300000.0,KZT,Алматы,2022-12-26T08:38:02+0300
786,Специалист службы поддержки пользователей,40000.0,40000.0,RUR,Санкт-Петербург,2022-12-26T08:48:35+0300
